Area,MinA_E(10),MinA_E(20),MinA_E(30),MinA_E(40),MinA_E(50),MinA_E(60),MinA_E(70),MinA_E(80),MinA_E(90),Area,Total,,MinA_E(10),MinA_E(20-10),MinA_E(30-20),MinA_E(40-30),MinA_E(50-40),MinA_E(60-50),MinA_E(70-60),MinA_E(80-70),MinA_E(90-80),,SUM,,Weighted Employment Accessibility,Rank,Area,10,20,30,40,50,60,Area
,,,,,,,,,,Portland,-0.7482683827258869,4.689425876326847,3.691830332645041,11.100391868677818,5.300325422276322,-41.674081496065135,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,Oklahoma City,37,New Orleans,Pittsburgh,Las Vegas,#N/A,#N/A,#N/A,Oklahoma City
,,,,,,,,,,Providence,-6.1663165455279305,-13.764084649159924,-18.504987567221843,-15.710814944890931,11.778347354230096,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,Indianapolis,38,Cincinnati,Rochester,Cincinnati,#N/A,#N/A,#N/A,Indianapolis
,,,,,,,,,,Raleigh,-33.1891193564553,-66.92636430237981,-44.4903837264287,-43.67598520190534,144.24892256588197,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,Cincinnati,39,Oklahoma City,Oklahoma City,Memphis,Indianapolis,#N/A,#N/A,Cincinnati
,,,,,,,,,,Rochester,-8.809404548490278,-11.28858331710536,-14.23964038251806,-6.843888368454867,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,Rochester,40,St. Louis,Cincinnati,Seattle,Virginia Beach,#N/A,#N/A,Rochester
,,,,,,,,,,Sacramento,6.131544275590538,22.876872676370375,51.85200458125934,59.373434862378296,-41.11894205667298,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,Providence,41,Seattle,Seattle,Indianapolis,Detroit,#N/A,#N/A,Providence
,,,,,,,,,,Salt Lake City,-13.926073762647533,0.8575586085317973,12.187387468765987,9.111704865380027,-100,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,Columbus,42,Rochester,St. Louis,Louisville,Denver,#N/A,#N/A,Columbus
,,,,,,,,,,San Antonio,13.017799900228653,10.710762843047434,9.246548490792573,12.90439304448993,14.465471050757845,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,St. Louis,43,Providence,Providence,St. Louis,Portland,#N/A,#N/A,St. Louis
,,,,,,,,,,San Diego,1.808346013263546,37.899394664948694,101.57240181062225,109.70951089040007,58.160342467662474,-100,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,Seattle,44,Boston,Columbus,Virginia Beach,Seattle,#N/A,#N/A,Seattle
,,,,,,,,,,San Francisco,-13.703008886018495,4.847058638917352,25.67492214009674,29.307994282052803,-47.00150504046808,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,New Orleans,45,Columbus,Boston,Riverside,Baltimore,Philadelphia,#N/A,New Orleans
,,,,,,,,,,San Jose,-17.829869117552597,8.718177234704514,44.16087470444903,18.919706256322264,-100,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,Charlotte,46,Charlotte,Charlotte,Boston,Phoenix,Tampa Bay,#N/A,Charlotte
,,,,,,,,,,Seattle,-3.1012036727710792,-12.887979504717148,-14.268057951952375,-15.200247227426297,-10.129702545443497,-9.265466453426034,608.5615003774176,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,Hartford,47,Honolulu,New Orleans,Sacramento,Orlando,Dallas-Fort Worth,#N/A,Hartford
,,,,,,,,,,Miami,22.543060458943668,11.097414745735016,8.48400902469005,7.14528937285574,7.40533539983206,41.71087602960034,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,Boston,48,Grand Rapids,Hartford,Salt Lake City,Boston,Houston,Philadelphia,Boston
,,,,,,,,,,St. Louis,-4.176484081860039,-14.520580954345563,-15.878833675570908,-17.19856660160487,-18.89937972935705,20.266074054083326,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,Grand Rapids,49,Hartford,Cleveland,Milwaukee,Tampa Bay,Washington,Atlanta,Grand Rapids
,,,,,,,,,,Tampa Bay,-10.612688318861036,18.338540418711773,40.87688633518407,41.51934772274557,40.416327095000106,-58.886326740269915,-100,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,Cleveland,50,Cleveland,Grand Rapids,San Jose,San Diego,Detroit,Chicago,Cleveland
,,,,,,,,,,Washington,4.0328951179565315,23.59047826031442,38.92525888708643,41.013294958990585,38.524077092876794,36.12629655058625,-67.82984782986436,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,Raleigh,51,Raleigh,Raleigh,San Francisco,Minneapolis,Los Angeles,Los Angeles,Raleigh
