Area,MinA_E(10),MinA_E(20),MinA_E(30),MinA_E(40),MinA_E(50),MinA_E(60),MinA_E(70),MinA_E(80),MinA_E(90),Area,Total,,MinA_E(10),MinA_E(20-10),MinA_E(30-20),MinA_E(40-30),MinA_E(50-40),MinA_E(60-50),MinA_E(70-60),MinA_E(80-70),MinA_E(90-80),,SUM,,Weighted Employment Accessibility,Rank,Area,10,20,30,40,50,60,Area,
,,,,,,,,,,Pittsburgh,7.8213342202197556,-18.594776794605856,-24.20643030079896,-23.555411193279213,-23.22581260003045,3293.6210533228686,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,Raleigh,36,Detroit,Columbus,Milwaukee,#N/A,#N/A,#N/A,Raleigh,
,,,,,,,,,,Portland,20.18710008667664,-12.99371331298049,-30.256887106007795,-32.31384665815511,101.20995312483284,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,Rochester,37,Cincinnati,Providence,Baltimore,#N/A,#N/A,#N/A,Rochester,
,,,,,,,,,,Providence,8.414850881637989,-39.65683220449234,-56.419372526781586,-29.831672549313186,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,Providence,38,Chicago,Seattle,Tampa Bay,#N/A,#N/A,#N/A,Providence,
,,,,,,,,,,Raleigh,2.731041453486481,-43.633510710932484,-64.49733316658748,29.467206665981283,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,Seattle,39,Denver,Indianapolis,Oklahoma City,#N/A,#N/A,#N/A,Seattle,
,,,,,,,,,,Rochester,-13.787445453167093,-38.06385829670765,-52.40820914046624,18.16567965892489,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,Honolulu,40,Columbus,Portland,Washington,#N/A,#N/A,#N/A,Honolulu,
,,,,,,,,,,Sacramento,-9.458046927960691,-12.596139663293544,-14.770947364995651,-9.948067142704119,-5.011720605155946,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,Buffalo,41,Boston,New York,Pittsburgh,#N/A,#N/A,#N/A,Buffalo,
,,,,,,,,,,Salt Lake City,9.767429246168687,5.078750239689005,-6.518936002021316,16.869037901878695,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,Charlotte,42,Providence,Charlotte,Virginia Beach,#N/A,#N/A,#N/A,Charlotte,
,,,,,,,,,,San Antonio,26.184004540111637,11.57314858863205,1.4385407056164727,5.186815049298554,81.46381656534214,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,St. Louis,43,Honolulu,Detroit,Atlanta,Kansas City,#N/A,#N/A,St. Louis,
,,,,,,,,,,San Diego,-10.493918465336959,11.421753607974896,26.20344732437952,29.673988707091127,2.620717731943958,-100,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,Hartford,44,Philadelphia,Cincinnati,New York,Atlanta,#N/A,#N/A,Hartford,
,,,,,,,,,,San Francisco,-10.28193953776593,43.466636270624335,155.97675558791693,166.32853426448662,6.380263642217335,-100,-100,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,Boston,45,Rochester,St. Louis,Seattle,Philadelphia,#N/A,#N/A,Boston,
,,,,,,,,,,San Jose,-9.439401160019996,16.051617156323697,51.32509469398448,31.25096907437325,-100,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,Detroit,46,Cleveland,Chicago,Detroit,Detroit,#N/A,#N/A,Detroit,
,,,,,,,,,,Seattle,9.739532139248412,-31.699563546894467,-35.2476994195082,-34.80169064213673,-35.140373336628336,185.37220168959635,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,New York,47,Buffalo,Denver,St. Louis,San Diego,#N/A,#N/A,New York,
,,,,,,,,,,Miami,23.3607143220072,-67.6898584456356,-63.14402874547647,-62.39102958323484,64.40864238931469,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,Chicago,48,Charlotte,Boston,Chicago,New York,#N/A,#N/A,Chicago,
,,,,,,,,,,St. Louis,2.2113260440989357,-45.435204231062684,-41.19635177530483,-43.389576067572335,-43.487147483458976,2507.4182856269754,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,Cleveland,49,Raleigh,Philadelphia,San Jose,Minneapolis,San Francisco,#N/A,Cleveland,
,,,,,,,,,,Tampa Bay,1.915359058762827,-9.027734428751511,-13.571221876878159,-10.970098156157675,-11.282542962786057,173.9166101943671,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,Miami,50,Hartford,Cleveland,Boston,Chicago,New York,New York,Miami,
,,,,,,,,,,Washington,7.05313071555987,-6.626202301766323,-12.983270974815017,-9.379418148288904,-9.284326936497747,4.938555146436831,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,Philadelphia,51,Miami,Miami,Philadelphia,San Francisco,Los Angeles,Los Angeles,Philadelphia,
